N,silent_frac,n_active,rate_cv_act,rate_p90_p50,pr,pr_active,energy,energy_hhi,mean_rate,pr_over_N,pr_over_active,sel_ctx,sel_ctx_act,sel_motion,sel_motion_act,sel_color,sel_color_act,sel_choice,sel_choice_act,sweep,eq,penalty
1000,0.0,1000,0.41019846705392526,1.6303517783204151,6.115465041071566,6.115465041071566,16.570406769725114,0.0011235188127755897,0.05199315394919624,0.006115465041071566,0.006115465041071566,0.631,0.631,0.516,0.516,0.521,0.521,0.837,0.837,CDDM_std_g0,h,both
1000,0.0,1000,0.43327615943093645,1.7230170885108633,5.895005952349512,5.895005952349512,15.975747080380787,0.0011403175081066592,0.050401438703661525,0.005895005952349513,0.005895005952349513,0.654,0.654,0.506,0.506,0.529,0.529,0.844,0.844,CDDM_std_g0,h,both
1000,0.0,1000,0.41091034977878405,1.6167680955094659,6.2448959121529795,6.2448959121529795,16.12974216358325,0.0011182588951368744,0.05043595380593376,0.006244895912152979,0.006244895912152979,0.587,0.587,0.496,0.496,0.494,0.494,0.799,0.799,CDDM_std_g0,h,both
1000,0.0,1000,0.4297797911759533,1.6526326048916085,6.231746525484662,6.231746525484662,16.11200837768569,0.001130657049199337,0.05078292578524485,0.0062317465254846625,0.0062317465254846625,0.607,0.607,0.511,0.511,0.513,0.513,0.816,0.816,CDDM_std_g0,h,both
1000,0.0,1000,0.45297476511378,1.6965026945983066,6.190766791867059,6.190766791867059,15.45094155110817,0.0011521172640200801,0.048941817238294084,0.006190766791867059,0.006190766791867059,0.604,0.604,0.505,0.505,0.492,0.492,0.811,0.811,CDDM_std_g0,h,both
1000,0.405,595,3.5872741756251476,6.984056031770357,2.3757577569134205,2.375757756913218,34.15231114102506,0.1519239928532861,0.021723380444488814,0.0023757577569134204,0.003992870179686421,0.233,0.3915966386554622,0.147,0.24705882352941178,0.163,0.2739495798319328,0.237,0.3983193277310924,CDDM_std_g0,h,rws
1000,0.393,607,3.367222778862493,7.2773218607384305,2.4624458669044262,2.462445866904424,30.633582275834556,0.09730891861016336,0.021448762411158614,0.0024624458669044265,0.004056747721424096,0.241,0.3970345963756178,0.139,0.22899505766062603,0.123,0.2026359143327842,0.221,0.3640856672158155,CDDM_std_g0,h,rws
1000,0.411,589,3.632621792929745,7.695374116618933,2.336869221297369,2.3368692212972553,29.865458814968243,0.15079610039372693,0.0201926957843254,0.002336869221297369,0.003967519900335091,0.255,0.432937181663837,0.17,0.28862478777589134,0.147,0.2495755517826825,0.249,0.4227504244482173,CDDM_std_g0,h,rws
1000,0.397,603,3.997737463119916,7.825139220181568,2.351382615241449,2.3513826152414476,31.951599990512506,0.18238384795625062,0.019947198120788146,0.002351382615241449,0.0038994736571168307,0.244,0.4046434494195688,0.167,0.2769485903814262,0.15,0.24875621890547264,0.252,0.417910447761194,CDDM_std_g0,h,rws
1000,0.395,605,3.604020549473793,9.40706641315092,2.414385452548196,2.4143854525481867,31.534984024731898,0.11683429234113078,0.021609371258840066,0.002414385452548196,0.00399071975627801,0.227,0.3752066115702479,0.146,0.2413223140495868,0.148,0.24462809917355371,0.235,0.3884297520661157,CDDM_std_g0,h,rws
1000,0.0,1000,0.48513426796120823,1.7396824674712277,7.846677798367145,7.846677798367145,15.065207520579563,0.0011703981313438221,0.043316534554924034,0.007846677798367145,0.007846677798367145,0.34,0.34,0.432,0.432,0.411,0.411,0.589,0.589,CDDM_std_g0,h,frm
1000,0.0,1000,0.4856070430721091,1.7577736135281044,7.576741626411323,7.576741626411323,14.597524009305388,0.0011892319452198555,0.04331253451399681,0.007576741626411323,0.007576741626411323,0.312,0.312,0.424,0.424,0.412,0.412,0.596,0.596,CDDM_std_g0,h,frm
1000,0.0,1000,0.48198245106655063,1.683936386477557,7.7014034095751,7.7014034095751,14.405548563910063,0.0011760292935982708,0.04254211873336564,0.0077014034095751,0.0077014034095751,0.324,0.324,0.407,0.407,0.405,0.405,0.589,0.589,CDDM_std_g0,h,frm
1000,0.0,1000,0.4806983954456648,1.6806523635585549,7.9679091708719305,7.9679091708719305,14.749265448057804,0.0011628407304206346,0.04275457037658564,0.00796790917087193,0.00796790917087193,0.266,0.266,0.423,0.423,0.414,0.414,0.567,0.567,CDDM_std_g0,h,frm
1000,0.0,1000,0.49508000745732816,1.7882394212343244,7.594706920657887,7.594706920657887,14.419416088367674,0.0011881985755262513,0.04207651167706101,0.007594706920657887,0.007594706920657887,0.313,0.313,0.387,0.387,0.404,0.404,0.575,0.575,CDDM_std_g0,h,frm
1000,0.446,554,3.3178725879292705,6.529307263544455,2.2209055779647446,2.2209055779647446,30.253174100410895,0.10374254671669547,0.0208259135037549,0.0022209055779647447,0.00400885483387138,0.232,0.4187725631768953,0.165,0.29783393501805056,0.178,0.3212996389891697,0.204,0.36823104693140796,CDDM_std_g0,h,none
1000,0.413,587,4.014222444071988,5.692834636686312,2.2241923263872727,2.224192326387194,31.56759542767217,0.14447993292116984,0.019318267269410484,0.0022241923263872725,0.0037890840313241445,0.25,0.42589437819420783,0.176,0.29982964224872233,0.156,0.2657580919931857,0.197,0.33560477001703576,CDDM_std_g0,h,none
1000,0.395,605,4.1026590311749525,6.811267989270195,2.262473033585678,2.262473033585529,34.77836421930205,0.1711230104960812,0.020438600595721154,0.002262473033585678,0.0037396248489019474,0.239,0.3950413223140496,0.183,0.30247933884297523,0.178,0.29421487603305785,0.202,0.3338842975206612,CDDM_std_g0,h,none
1000,0.426,574,3.4516101051603765,5.89715066350217,2.137276847939341,2.1372768479393383,29.33236504202852,0.1137122549177107,0.019366674697918147,0.0021372768479393407,0.003723478829162615,0.264,0.45993031358885017,0.155,0.2700348432055749,0.152,0.26480836236933797,0.187,0.32578397212543553,CDDM_std_g0,h,none
1000,0.451,549,3.2147293339278735,6.15372314043916,2.27062912377787,2.2706291237778693,29.65355737720502,0.08036974256666357,0.021351068896963213,0.00227062912377787,0.004135936473183734,0.228,0.41530054644808745,0.141,0.2568306010928962,0.133,0.24225865209471767,0.17,0.30965391621129323,CDDM_std_g0,h,none
1000,0.0,1000,0.3581104114175893,1.5256193388970258,5.558655512087359,5.558655512087359,17.922886059719303,0.0010883839978649537,0.061037743791038206,0.0055586555120873595,0.0055586555120873595,0.643,0.643,0.531,0.531,0.553,0.553,0.858,0.858,CDDM_std_g0,s,both
1000,0.0,1000,0.3590678975714596,1.5276168473851108,5.502008544663184,5.502008544663184,18.820802445616962,0.0010923137190396912,0.06291959779566154,0.0055020085446631836,0.0055020085446631836,0.631,0.631,0.545,0.545,0.562,0.562,0.852,0.852,CDDM_std_g0,s,both
1000,0.0,1000,0.34469575518673895,1.5364184839021666,5.435638107112128,5.435638107112128,18.750069484738717,0.001088936542116036,0.06265060583406323,0.005435638107112128,0.005435638107112128,0.63,0.63,0.595,0.595,0.539,0.539,0.852,0.852,CDDM_std_g0,s,both
1000,0.0,1000,0.349020827948122,1.5193123776825959,5.392679030629618,5.392679030629618,18.735110389328728,0.001086598048762543,0.06257435954514436,0.005392679030629618,0.005392679030629618,0.64,0.64,0.568,0.568,0.552,0.552,0.853,0.853,CDDM_std_g0,s,both
