sweep,eq,N,penalty,hard_1em6,rel_5p95,abs_1em2,median_p
std,h,1000,both,0.0,0.0,0.0,0.32703493535518646
std,h,1000,both,0.0,0.0,0.0,0.32575663924217224
std,h,1000,both,0.0,0.0,0.0,0.3399352729320526
std,h,1000,both,0.0,0.0,0.0,0.3291788101196289
std,h,1000,both,0.0,0.0,0.0,0.3049178272485733
std,h,1000,rws,0.401,0.634,0.555,0.00438998150639236
std,h,1000,rws,0.393,0.62,0.566,0.004480648785829544
std,h,1000,rws,0.411,0.635,0.575,0.0021473783999681473
std,h,1000,rws,0.397,0.645,0.588,0.0031311208149418235
std,h,1000,rws,0.394,0.659,0.587,0.003198078600689769
std,h,1000,frm,0.0,0.0,0.0,0.26694467663764954
std,h,1000,frm,0.0,0.0,0.0,0.2821364849805832
std,h,1000,frm,0.0,0.0,0.0,0.2919478118419647
std,h,1000,frm,0.0,0.0,0.0,0.2781706899404526
std,h,1000,frm,0.0,0.0,0.0,0.25180912017822266
std,h,1000,none,0.445,0.598,0.559,0.0018086045747622848
std,h,1000,none,0.407,0.569,0.545,0.005499327555298805
std,h,1000,none,0.393,0.575,0.536,0.0058430873323231936
std,h,1000,none,0.427,0.572,0.543,0.002909380476921797
std,h,1000,none,0.449,0.614,0.576,0.0007244877342600375
std,s,1000,both,0.0,0.0,0.0,0.40414369106292725
std,s,1000,both,0.0,0.0,0.0,0.4052050709724426
std,s,1000,both,0.0,0.0,0.0,0.4072139859199524
std,s,1000,both,0.0,0.0,0.0,0.4034135490655899
std,s,1000,both,0.0,0.0,0.0,0.406748428940773
std,s,1000,rws,0.223,0.521,0.397,0.032590847462415695
std,s,1000,rws,0.25,0.55,0.419,0.023577173240482807
std,s,1000,rws,0.226,0.522,0.424,0.027920015156269073
std,s,1000,rws,0.201,0.53,0.411,0.032168133184313774
std,s,1000,rws,0.224,0.534,0.422,0.02333336602896452
std,s,1000,frm,0.0,0.0,0.0,0.3777451515197754
std,s,1000,frm,0.0,0.0,0.0,0.3836997002363205
std,s,1000,frm,0.0,0.0,0.0,0.38512122631073
std,s,1000,frm,0.0,0.0,0.0,0.38059261441230774
std,s,1000,frm,0.0,0.0,0.0,0.3858400732278824
std,s,1000,none,0.419,0.613,0.498,0.010054190643131733
std,s,1000,none,0.398,0.567,0.484,0.012102805078029633
std,s,1000,none,0.393,0.602,0.478,0.014126409776508808
std,s,1000,none,0.38,0.555,0.458,0.0171460947021842
std,s,1000,none,0.41,0.616,0.505,0.008983517065644264
std_Nsweep,h,100,frm,0.0,0.0,0.0,0.6301738619804382
std_Nsweep,h,100,frm,0.0,0.0,0.0,0.6274285614490509
std_Nsweep,h,100,frm,0.0,0.0,0.0,0.6250916123390198
std_Nsweep,h,100,frm,0.0,0.0,0.0,0.627221405506134
std_Nsweep,h,100,frm,0.0,0.0,0.0,0.6420070230960846
std_Nsweep,h,100,none,0.03,0.17,0.03,0.49452364444732666
std_Nsweep,h,100,none,0.04,0.1,0.04,0.5824410915374756
std_Nsweep,h,100,none,0.02,0.05,0.02,0.5668463706970215
std_Nsweep,h,100,none,0.01,0.12,0.01,0.5260289907455444
std_Nsweep,h,100,none,0.03,0.17,0.03,0.49660831689834595
std_Nsweep,h,250,frm,0.0,0.0,0.0,0.5373195111751556
std_Nsweep,h,250,frm,0.0,0.0,0.0,0.5356356203556061
std_Nsweep,h,250,frm,0.0,0.0,0.0,0.5437750816345215
std_Nsweep,h,250,frm,0.0,0.0,0.0,0.5440289378166199
std_Nsweep,h,250,frm,0.0,0.0,0.0,0.5461567342281342
std_Nsweep,h,250,none,0.096,0.256,0.132,0.16494925320148468
std_Nsweep,h,250,none,0.072,0.376,0.104,0.16723887622356415
std_Nsweep,h,250,none,0.072,0.24,0.096,0.18922509253025055
std_Nsweep,h,250,none,0.088,0.248,0.12,0.17042840272188187
std_Nsweep,h,250,none,0.1,0.216,0.124,0.16851558536291122
std_Nsweep,h,500,frm,0.0,0.0,0.0,0.4620567560195923
std_Nsweep,h,500,frm,0.0,0.0,0.0,0.45691734552383423
std_Nsweep,h,500,frm,0.0,0.0,0.0,0.4486060291528702
std_Nsweep,h,500,frm,0.0,0.0,0.0,0.4604951739311218
std_Nsweep,h,500,frm,0.0,0.0,0.0,0.4569471478462219
std_Nsweep,h,500,none,0.206,0.39,0.326,0.058090170845389366
std_Nsweep,h,500,none,0.238,0.41,0.33,0.06141351908445358
std_Nsweep,h,500,none,0.22,0.444,0.316,0.04869052767753601
std_Nsweep,h,500,none,0.216,0.4,0.32,0.05734618380665779
std_Nsweep,h,500,none,0.218,0.388,0.312,0.06926877796649933
std_Nsweep,s,100,frm,0.0,0.0,0.0,0.629571795463562
std_Nsweep,s,100,frm,0.0,0.0,0.0,0.6304126679897308
std_Nsweep,s,100,frm,0.0,0.0,0.0,0.6369860768318176
std_Nsweep,s,100,frm,0.0,0.0,0.0,0.6358621120452881
std_Nsweep,s,100,frm,0.0,0.0,0.0,0.6294046640396118
std_Nsweep,s,100,none,0.02,0.03,0.02,0.903474897146225
std_Nsweep,s,100,none,0.02,0.08,0.02,0.9314665198326111
std_Nsweep,s,100,none,0.03,0.07,0.03,0.9559553265571594
std_Nsweep,s,100,none,0.02,0.1,0.02,0.9858744740486145
std_Nsweep,s,100,none,0.05,0.07,0.05,0.8408999443054199
std_Nsweep,s,250,frm,0.0,0.0,0.0,0.5441857278347015
std_Nsweep,s,250,frm,0.0,0.0,0.0,0.5324446558952332
std_Nsweep,s,250,frm,0.0,0.0,0.0,0.5308825969696045
std_Nsweep,s,250,frm,0.0,0.0,0.0,0.5391772091388702
std_Nsweep,s,250,frm,0.0,0.0,0.0,0.533735454082489
std_Nsweep,s,250,none,0.084,0.248,0.108,0.31715352833271027
std_Nsweep,s,250,none,0.06,0.224,0.096,0.38855239748954773
std_Nsweep,s,250,none,0.08,0.212,0.1,0.40954747796058655
std_Nsweep,s,250,none,0.076,0.2,0.084,0.34200990200042725
std_Nsweep,s,250,none,0.068,0.212,0.072,0.417213499546051
std_Nsweep,s,500,frm,0.0,0.0,0.0,0.47009240090847015
std_Nsweep,s,500,frm,0.0,0.0,0.0,0.4720197319984436
std_Nsweep,s,500,frm,0.0,0.0,0.0,0.46529653668403625
std_Nsweep,s,500,frm,0.0,0.0,0.0,0.47066138684749603
std_Nsweep,s,500,frm,0.0,0.0,0.0,0.4755631685256958
std_Nsweep,s,500,none,0.194,0.362,0.26,0.15064141154289246
std_Nsweep,s,500,none,0.204,0.402,0.262,0.15655136108398438
std_Nsweep,s,500,none,0.212,0.44,0.276,0.11271882802248001
std_Nsweep,s,500,none,0.18,0.418,0.244,0.14040914177894592
std_Nsweep,s,500,none,0.178,0.38,0.224,0.12479218095541
dale,h,1000,both,0.0,0.0,0.0,0.362589955329895
dale,h,1000,both,0.0,0.0,0.0,0.35950200259685516
dale,h,1000,both,0.0,0.0,0.0,0.36182910203933716
dale,h,1000,both,0.0,0.0,0.0,0.3896147608757019
dale,h,1000,both,0.0,0.0,0.0,0.3693974018096924
dale,h,1000,rws,0.459,0.627,0.601,7.91140046203509e-05
dale,h,1000,rws,0.46,0.649,0.614,1.5220818568195682e-05
dale,h,1000,rws,0.45,0.657,0.63,2.2064035874791443e-05
dale,h,1000,rws,0.453,0.639,0.611,1.1814295248768758e-05
dale,h,1000,rws,0.457,0.662,0.616,2.0093340026505757e-05
dale,h,1000,frm,0.0,0.0,0.0,0.2890543043613434
dale,h,1000,frm,0.0,0.0,0.0,0.3262328505516052
dale,h,1000,frm,0.0,0.0,0.0,0.24754060804843903
dale,h,1000,frm,0.0,0.0,0.0,0.2692619115114212
dale,h,1000,frm,0.0,0.0,0.0,0.26224710047245026
dale,h,1000,none,0.053,0.573,0.543,0.0034944028593599796
dale,h,1000,none,0.061,0.56,0.538,0.0025168302236124873
dale,h,1000,none,0.077,0.556,0.528,0.0032106181606650352
dale,h,1000,none,0.057,0.56,0.536,0.0035657730186358094
dale,h,1000,none,0.059,0.557,0.534,0.0033051943173632026
dale,s,1000,both,0.0,0.0,0.0,0.40592241287231445
dale,s,1000,both,0.0,0.0,0.0,0.4069066494703293
dale,s,1000,both,0.0,0.0,0.0,0.41109132766723633
dale,s,1000,both,0.0,0.0,0.0,0.40842218697071075
dale,s,1000,both,0.0,0.0,0.0,0.40359482169151306
dale,s,1000,rws,0.474,0.642,0.611,4.970527015757398e-06
dale,s,1000,rws,0.478,0.666,0.633,2.8061441526006092e-06
dale,s,1000,rws,0.471,0.657,0.631,3.8844641494506504e-06
dale,s,1000,rws,0.469,0.651,0.621,9.54286315391073e-06
dale,s,1000,rws,0.472,0.641,0.608,7.3422793320787605e-06
dale,s,1000,frm,0.0,0.0,0.0,0.3615775555372238
dale,s,1000,frm,0.0,0.0,0.0,0.3384294807910919
dale,s,1000,frm,0.0,0.0,0.0,0.37460580468177795
dale,s,1000,frm,0.0,0.0,0.0,0.3646675795316696
dale,s,1000,frm,0.0,0.0,0.0,0.35372045636177063
dale,s,1000,none,0.512,0.587,0.569,9.018384261594292e-08
dale,s,1000,none,0.525,0.598,0.58,1.7102301630542334e-14
dale,s,1000,none,0.522,0.596,0.581,1.7102301630542334e-14
dale,s,1000,none,0.518,0.61,0.591,4.3121076487295795e-08
dale,s,1000,none,0.511,0.595,0.571,4.841240830444349e-08
nodale,h,1000,both,0.0,0.0,0.0,0.30686017870903015
nodale,h,1000,both,0.0,0.0,0.0,0.331424742937088
nodale,h,1000,both,0.0,0.0,0.0,0.3176959604024887
nodale,h,1000,both,0.0,0.0,0.0,0.31331975758075714
nodale,h,1000,both,0.0,0.0,0.0,0.33481693267822266
nodale,h,1000,rws,0.367,0.615,0.532,0.005886542145162821
nodale,h,1000,rws,0.361,0.64,0.579,0.0031677220249548554
nodale,h,1000,rws,0.371,0.627,0.557,0.004649805836379528
nodale,h,1000,rws,0.353,0.636,0.552,0.00559967802837491
nodale,h,1000,rws,0.375,0.659,0.582,0.003300050855614245
nodale,h,1000,frm,0.0,0.0,0.0,0.2503218650817871
nodale,h,1000,frm,0.0,0.0,0.0,0.2449517697095871
nodale,h,1000,frm,0.0,0.0,0.0,0.2572040557861328
nodale,h,1000,frm,0.0,0.0,0.0,0.2602770924568176
nodale,h,1000,frm,0.0,0.0,0.0,0.25315235555171967
nodale,h,1000,none,0.288,0.587,0.546,0.004709528759121895
nodale,h,1000,none,0.32,0.589,0.559,0.0033315331675112247
nodale,h,1000,none,0.32,0.595,0.553,0.003830682602711022
nodale,h,1000,none,0.312,0.577,0.55,0.004429639782756567
nodale,h,1000,none,0.335,0.608,0.559,0.002468557679094374
nodale,s,1000,both,0.0,0.0,0.0,0.39178815484046936
nodale,s,1000,both,0.0,0.0,0.0,0.4021175354719162
nodale,s,1000,both,0.0,0.0,0.0,0.40172941982746124
nodale,s,1000,both,0.0,0.0,0.0,0.406328409910202
nodale,s,1000,both,0.0,0.0,0.0,0.40145473182201385
nodale,s,1000,rws,0.192,0.526,0.409,0.031913504004478455
nodale,s,1000,rws,0.188,0.533,0.409,0.02977979090064764
nodale,s,1000,rws,0.181,0.55,0.415,0.027721675112843513
nodale,s,1000,rws,0.203,0.543,0.419,0.021318566985428333
nodale,s,1000,rws,0.19,0.552,0.442,0.021197207272052765
nodale,s,1000,frm,0.0,0.0,0.0,0.3781152814626694
nodale,s,1000,frm,0.0,0.0,0.0,0.37098297476768494
nodale,s,1000,frm,0.0,0.0,0.0,0.37368161976337433
nodale,s,1000,frm,0.0,0.0,0.0,0.3812839388847351
nodale,s,1000,frm,0.0,0.0,0.0,0.3809504061937332
nodale,s,1000,none,0.243,0.556,0.429,0.02435138914734125
nodale,s,1000,none,0.234,0.574,0.413,0.026261749677360058
nodale,s,1000,none,0.226,0.571,0.447,0.022205930203199387
nodale,s,1000,none,0.237,0.582,0.413,0.023484226316213608
nodale,s,1000,none,0.225,0.571,0.431,0.024904086254537106
nodale_bias,h,1000,both,0.0,0.0,0.0,0.31037475168704987
nodale_bias,h,1000,both,0.0,0.0,0.0,0.3124685287475586
nodale_bias,h,1000,both,0.0,0.0,0.0,0.32047195732593536
nodale_bias,h,1000,both,0.0,0.0,0.0,0.3473045229911804
nodale_bias,h,1000,both,0.0,0.0,0.0,0.3062710165977478
nodale_bias,h,1000,rws,0.407,0.653,0.584,0.002961803460493684
nodale_bias,h,1000,rws,0.431,0.634,0.592,0.0018588461680337787
nodale_bias,h,1000,rws,0.409,0.648,0.582,0.002680087578482926
nodale_bias,h,1000,rws,0.407,0.641,0.577,0.003250168403610587
nodale_bias,h,1000,rws,0.409,0.647,0.583,0.0027895005187019706
nodale_bias,h,1000,frm,0.0,0.0,0.0,0.26746249198913574
nodale_bias,h,1000,frm,0.0,0.0,0.0,0.2746892273426056
nodale_bias,h,1000,frm,0.0,0.0,0.0,0.25813329219818115
nodale_bias,h,1000,frm,0.0,0.0,0.0,0.27108390629291534
nodale_bias,h,1000,frm,0.0,0.0,0.0,0.26201102137565613
nodale_bias,h,1000,none,0.434,0.606,0.553,0.0016447455273009837
nodale_bias,h,1000,none,0.426,0.613,0.566,0.001281007775105536
nodale_bias,h,1000,none,0.41,0.596,0.555,0.003524328116327524
nodale_bias,h,1000,none,0.409,0.586,0.54,0.004735903115943074
nodale_bias,h,1000,none,0.399,0.58,0.529,0.005344332195818424
nodale_bias,s,1000,both,0.0,0.0,0.0,0.4066670536994934
nodale_bias,s,1000,both,0.0,0.0,0.0,0.4038283973932266
nodale_bias,s,1000,both,0.0,0.0,0.0,0.4101192504167557
nodale_bias,s,1000,both,0.0,0.0,0.0,0.4106898605823517
nodale_bias,s,1000,both,0.0,0.0,0.0,0.4089287370443344
nodale_bias,s,1000,rws,0.215,0.536,0.413,0.02782454341650009
nodale_bias,s,1000,rws,0.23,0.526,0.417,0.03358372859656811
nodale_bias,s,1000,rws,0.21,0.538,0.422,0.028894849121570587
nodale_bias,s,1000,rws,0.236,0.522,0.417,0.03145165927708149
nodale_bias,s,1000,rws,0.232,0.533,0.415,0.027024745009839535
nodale_bias,s,1000,frm,0.0,0.0,0.0,0.3860242962837219
nodale_bias,s,1000,frm,0.0,0.0,0.0,0.36812475323677063
nodale_bias,s,1000,frm,0.0,0.0,0.0,0.37766917049884796
nodale_bias,s,1000,frm,0.0,0.0,0.0,0.381812646985054
nodale_bias,s,1000,frm,0.0,0.0,0.0,0.38100554049015045
nodale_bias,s,1000,none,0.421,0.607,0.503,0.009788496885448694
nodale_bias,s,1000,none,0.405,0.591,0.486,0.01199296209961176
nodale_bias,s,1000,none,0.354,0.571,0.448,0.02327417302876711
nodale_bias,s,1000,none,0.392,0.607,0.483,0.013545284513384104
nodale_bias,s,1000,none,0.417,0.611,0.493,0.01107231481000781
